time, x, y, z
1385.71, -0.399149, 0.230436, 0.629227
1385.72, -0.399146, 0.230435, 0.629232
1385.73, -0.399097, 0.230431, 0.628984
1385.74, -0.398818, 0.230305, 0.627314
1385.75, -0.39836, 0.230162, 0.6249
1385.77, -0.397696, 0.230027, 0.62216
1385.77, -0.39704, 0.229883, 0.619686
1385.78, -0.396367, 0.229709, 0.617114
1385.79, -0.395707, 0.229557, 0.614562
1385.8, -0.395057, 0.229426, 0.611992
1385.81, -0.394427, 0.229317, 0.609408
1385.82, -0.393806, 0.229224, 0.606813
1385.84, -0.393188, 0.229141, 0.604215
1385.84, -0.392569, 0.229069, 0.601604
1385.85, -0.391932, 0.228998, 0.598997
1385.86, -0.391276, 0.228925, 0.596395
1385.87, -0.390606, 0.228851, 0.59379
1385.88, -0.389917, 0.228776, 0.59119
1385.89, -0.38921, 0.228704, 0.588592
1385.9, -0.388489, 0.228631, 0.585994
1385.91, -0.387749, 0.228558, 0.583403
1385.92, -0.386993, 0.228486, 0.580811
1385.93, -0.38622, 0.228413, 0.578225
1385.94, -0.385431, 0.228341, 0.575642
1385.95, -0.384624, 0.228269, 0.573064
1385.96, -0.383799, 0.228198, 0.570493
1385.97, -0.382962, 0.228128, 0.567922
1385.98, -0.382104, 0.228058, 0.565362
1385.99, -0.381233, 0.22799, 0.562803
1386, -0.380343, 0.22792, 0.560254
1386.01, -0.379439, 0.227853, 0.557708
1386.02, -0.378517, 0.227787, 0.555172
1386.03, -0.377581, 0.227723, 0.552642
1386.04, -0.376628, 0.227658, 0.55012
1386.05, -0.37566, 0.227597, 0.547606
1386.07, -0.374679, 0.227538, 0.545098
1386.07, -0.373693, 0.227487, 0.542593
1386.08, -0.372713, 0.227449, 0.540095
1386.09, -0.371751, 0.227432, 0.537591
1386.1, -0.3708, 0.227432, 0.535081
1386.11, -0.369877, 0.227461, 0.532568
1386.12, -0.368979, 0.227514, 0.530047
1386.13, -0.368107, 0.227594, 0.527523
1386.14, -0.367259, 0.227698, 0.524997
1386.15, -0.366443, 0.22783, 0.522458
1386.16, -0.365647, 0.227985, 0.519921
1386.17, -0.364878, 0.228166, 0.517382
1386.18, -0.364137, 0.228374, 0.514837
1386.19, -0.36342, 0.228606, 0.51229
1386.2, -0.36273, 0.228863, 0.509743
1386.21, -0.362065, 0.229146, 0.507195
1386.22, -0.361424, 0.229451, 0.504646
1386.23, -0.360814, 0.229786, 0.502092
1386.24, -0.360227, 0.230141, 0.49954
1386.25, -0.359667, 0.230524, 0.496992
1386.26, -0.359132, 0.230931, 0.494444
1386.27, -0.358628, 0.231364, 0.491891
1386.29, -0.358148, 0.231822, 0.489345
1386.29, -0.357694, 0.232303, 0.486798
1386.31, -0.357267, 0.232812, 0.484257
1386.31, -0.356865, 0.233343, 0.481716
1386.32, -0.356489, 0.2339, 0.479181
1386.33, -0.356145, 0.234485, 0.476645
1386.34, -0.355825, 0.235093, 0.474115
1386.35, -0.355531, 0.235725, 0.471588
1386.37, -0.355265, 0.236382, 0.469069
1386.37, -0.355024, 0.237062, 0.466553
1386.38, -0.354809, 0.237767, 0.464044
1386.39, -0.354626, 0.2385, 0.461536
1386.4, -0.354467, 0.239255, 0.459037
1386.41, -0.354334, 0.240032, 0.456543
1386.42, -0.354227, 0.240834, 0.454057
1386.43, -0.354148, 0.24166, 0.451581
1386.44, -0.354095, 0.242511, 0.44911
1386.45, -0.354068, 0.243383, 0.446645
1386.46, -0.354071, 0.244281, 0.444185
1386.47, -0.354099, 0.245202, 0.441738
1386.48, -0.354154, 0.246146, 0.439298
1386.49, -0.354234, 0.247111, 0.436865
1386.5, -0.354341, 0.248102, 0.434445
1386.51, -0.354459, 0.249101, 0.432025
1386.52, -0.354572, 0.2501, 0.42958
1386.53, -0.354672, 0.251092, 0.427137
1386.55, -0.35476, 0.252077, 0.424697
1386.55, -0.354835, 0.253059, 0.422249
1386.57, -0.354898, 0.254034, 0.419801
1386.57, -0.354949, 0.255003, 0.417353
1386.58, -0.354988, 0.255966, 0.414905
1386.59, -0.355015, 0.256921, 0.412457
1386.6, -0.355029, 0.257871, 0.41001
1386.61, -0.355035, 0.258815, 0.407555
1386.62, -0.355028, 0.25975, 0.405106
1386.63, -0.355009, 0.260677, 0.402659
1386.64, -0.354979, 0.261597, 0.400215
1386.65, -0.354939, 0.262508, 0.397775
1386.66, -0.354886, 0.263412, 0.395339
1386.67, -0.354827, 0.264308, 0.392895
1386.68, -0.354755, 0.265195, 0.390464
1386.69, -0.354673, 0.266072, 0.388037
1386.7, -0.354593, 0.266949, 0.38563
1386.71, -0.354518, 0.267827, 0.383233
1386.72, -0.354489, 0.268737, 0.38087
1386.73, -0.354492, 0.269666, 0.378531
1386.74, -0.354535, 0.270618, 0.376216
1386.75, -0.354618, 0.271594, 0.373926
1386.77, -0.354742, 0.272593, 0.371663
1386.77, -0.354898, 0.273611, 0.369421
1386.78, -0.3551, 0.274656, 0.367199
1386.79, -0.355335, 0.275718, 0.365008
1386.8, -0.355602, 0.276797, 0.362837
1386.81, -0.355908, 0.277897, 0.360697
1386.82, -0.356247, 0.279014, 0.358583
1386.83, -0.356614, 0.280148, 0.356491
1386.85, -0.357024, 0.281305, 0.35442
1386.85, -0.357459, 0.282473, 0.352376
1386.86, -0.357927, 0.283656, 0.350359
1386.87, -0.35843, 0.284858, 0.348372
1386.88, -0.358963, 0.286074, 0.346409
1386.89, -0.359523, 0.287303, 0.344469
1386.9, -0.360112, 0.288545, 0.342556
1386.91, -0.360734, 0.289803, 0.340672
1386.92, -0.361384, 0.291073, 0.338812
1386.93, -0.362066, 0.292358, 0.33697
1386.94, -0.362772, 0.293644, 0.335165
1386.95, -0.363494, 0.294921, 0.333398
1386.96, -0.364231, 0.296186, 0.331675
1386.97, -0.364986, 0.29744, 0.329999
1386.98, -0.36575, 0.298681, 0.328367
1386.99, -0.366524, 0.299911, 0.326774
1387, -0.367308, 0.30113, 0.32522
1387.01, -0.368104, 0.302335, 0.32371
1387.02, -0.368905, 0.303527, 0.322237
1387.03, -0.369716, 0.304708, 0.3208
1387.04, -0.37054, 0.305879, 0.319393
1387.05, -0.371364, 0.307032, 0.318028
1387.06, -0.372194, 0.308173, 0.316697
1387.07, -0.373032, 0.309298, 0.315404
1387.08, -0.373873, 0.310409, 0.314144
1387.09, -0.374716, 0.311506, 0.312916
1387.11, -0.375565, 0.312589, 0.31172
1387.11, -0.376414, 0.313658, 0.310555
1387.12, -0.377265, 0.314712, 0.30942
1387.13, -0.378118, 0.315751, 0.308317
1387.14, -0.378973, 0.316776, 0.307242
1387.15, -0.379831, 0.317791, 0.306183
1387.16, -0.380688, 0.318787, 0.305161
1387.17, -0.381545, 0.319769, 0.304167
