time, x, y, z
20.557, -0.351039, 0.202647, 0.476548
20.567, -0.351039, 0.202647, 0.476547
20.577, -0.351039, 0.202647, 0.476547
20.587, -0.351039, 0.202647, 0.476546
20.597, -0.351038, 0.202647, 0.476546
20.608, -0.351038, 0.202647, 0.476545
20.617, -0.351038, 0.202647, 0.476545
20.627, -0.351038, 0.202646, 0.476544
20.637, -0.351037, 0.202646, 0.476544
20.648, -0.351037, 0.202646, 0.476543
20.667, -0.351037, 0.202646, 0.476543
20.677, -0.352035, 0.200794, 0.474434
20.688, -0.354042, 0.199307, 0.471644
20.697, -0.356077, 0.197713, 0.468569
20.707, -0.35799, 0.196076, 0.465564
20.717, -0.359879, 0.194386, 0.462584
20.727, -0.361796, 0.19266, 0.459555
20.737, -0.36374, 0.190896, 0.456473
20.747, -0.3657, 0.189098, 0.453349
20.757, -0.367672, 0.187265, 0.450186
20.767, -0.369657, 0.185396, 0.446982
20.777, -0.371656, 0.183491, 0.443734
20.787, -0.373663, 0.181553, 0.440446
20.797, -0.375677, 0.179584, 0.437117
20.807, -0.377676, 0.17761, 0.43377
20.818, -0.379649, 0.175629, 0.430417
20.827, -0.381588, 0.173642, 0.427064
20.837, -0.383497, 0.171653, 0.423716
20.847, -0.38536, 0.16966, 0.420369
20.857, -0.38717, 0.167664, 0.417042
20.867, -0.388925, 0.165669, 0.413741
20.877, -0.390623, 0.163678, 0.410468
20.887, -0.392271, 0.161697, 0.407223
20.897, -0.393887, 0.159735, 0.404024
20.907, -0.395564, 0.157827, 0.400893
20.917, -0.397311, 0.155978, 0.397812
20.927, -0.399143, 0.154201, 0.394773
20.937, -0.401053, 0.15249, 0.391782
20.948, -0.403026, 0.150842, 0.388834
20.957, -0.405062, 0.149253, 0.385932
20.967, -0.407152, 0.147721, 0.383071
20.977, -0.409295, 0.146248, 0.38025
20.987, -0.411492, 0.144838, 0.377473
20.998, -0.416034, 0.142207, 0.372064
21.018, -0.418374, 0.140982, 0.369432
21.027, -0.420821, 0.139908, 0.366951
21.037, -0.423236, 0.138784, 0.364407
21.047, -0.425708, 0.137752, 0.361955
21.057, -0.428205, 0.136777, 0.359553
21.067, -0.430738, 0.135866, 0.357208
21.078, -0.433303, 0.135015, 0.354907
21.087, -0.435891, 0.134222, 0.352663
21.097, -0.4385, 0.133483, 0.350464
21.107, -0.441131, 0.132803, 0.348315
21.119, -0.446451, 0.131627, 0.344171
21.138, -0.449127, 0.131105, 0.342153
21.147, -0.451845, 0.130738, 0.340258
21.157, -0.454539, 0.130317, 0.338331
21.167, -0.457254, 0.129979, 0.336466
21.177, -0.459972, 0.129688, 0.334635
21.187, -0.462701, 0.129456, 0.332846
21.198, -0.465427, 0.129275, 0.331103
21.207, -0.468155, 0.129145, 0.329401
21.217, -0.47088, 0.129061, 0.327733
21.227, -0.473604, 0.129026, 0.326104
21.237, -0.476324, 0.129045, 0.324517
21.247, -0.479038, 0.129113, 0.322967
21.258, -0.481745, 0.129229, 0.321453
21.267, -0.484444, 0.129391, 0.319975
21.277, -0.487132, 0.129594, 0.318528
21.287, -0.489813, 0.129842, 0.317114
21.297, -0.492487, 0.130114, 0.315721
21.309, -0.497803, 0.130665, 0.31304
21.328, -0.500445, 0.130932, 0.311738
21.337, -0.503063, 0.131285, 0.310491
21.347, -0.505662, 0.131636, 0.309254
